人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,状態,状態の開始日,底本名,出版社名,作品名読み,原題,XHTML/HTMLファイルURL
311,宮本 百合子,3257,新しい躾,新字新仮名,,公開,2003-09-17,宮本百合子全集　第十五巻,新日本出版社,あたらしいしつけ,,https://www.aozora.gr.jp/cards/000311/files/3257_10904.html
311,宮本 百合子,3279,新しい卒業生の皆さんへ,新字新仮名,,公開,2003-09-23,宮本百合子全集　第十五巻,新日本出版社,あたらしいそつぎょうせいのみなさんへ,,https://www.aozora.gr.jp/cards/000311/files/3279_10948.html
311,宮本 百合子,3480,新しい抵抗について,新字新仮名,,公開,2003-10-28,宮本百合子全集　第十六巻,新日本出版社,あたらしいていこうについて,,https://www.aozora.gr.jp/cards/000311/files/3480_12386.html
311,宮本 百合子,3123,新しい美をつくる心,新字新仮名,,公開,2003-07-18,宮本百合子全集　第十四巻,新日本出版社,あたらしいびをつくるこころ,,https://www.aozora.gr.jp/cards/000311/files/3123_10729.html
311,宮本 百合子,2728,新しきシベリアを横切る,新字新仮名,,公開,2002-11-12,宮本百合子全集　第九巻,新日本出版社,あたらしきシベリアをよこぎる,,https://www.aozora.gr.jp/cards/000311/files/2728_7353.html
311,宮本 百合子,3188,新しき大地,新字新仮名,,公開,2003-08-08,宮本百合子全集　第十四巻,新日本出版社,あたらしきだいち,,https://www.aozora.gr.jp/cards/000311/files/3188_10859.html
311,宮本 百合子,4050,「あたりまえ」の一人の主婦,新字新仮名,,公開,2003-12-30,宮本百合子全集　第十七巻,新日本出版社,「あたりまえ」のひとりのしゅふ,,https://www.aozora.gr.jp/cards/000311/files/4050_12703.html
311,宮本 百合子,4002,熱き茶色,新字新仮名,,公開,2003-12-21,宮本百合子全集　第十七巻,新日本出版社,あつきちゃいろ,,https://www.aozora.gr.jp/cards/000311/files/4002_12704.html
311,宮本 百合子,4116,あとがき（『朝の風』）,新字新仮名,,公開,2004-04-11,宮本百合子全集　第十八巻,新日本出版社,あとがき（『あさのかぜ』）,,https://www.aozora.gr.jp/cards/000311/files/4116_14726.html
311,宮本 百合子,4115,あとがき（『明日への精神』）,新字新仮名,,公開,2004-04-11,宮本百合子全集　第十八巻,新日本出版社,あとがき（『あすへのせいしん』）,,https://www.aozora.gr.jp/cards/000311/files/4115_14725.html
311,宮本 百合子,4124,あとがき（『幸福について』）,新字新仮名,,公開,2004-04-15,宮本百合子全集　第十八巻,新日本出版社,あとがき（『こうふくについて』）,,https://www.aozora.gr.jp/cards/000311/files/4124_14734.html
